Num	Catégorie	Intitulé	Langue	Durée	Prix	Lien Mega	Premier Lien Mega
46	Informatique programmation	L'essentiel de visual studio code		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/QQ4x2Z7A#VLAtClbWMFVl90HirxxPAgBjsZq_k-0ML76QT3nXvrA!1a
47	Informatique programmation	L'essentiel de scala		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/ANQFgKDK#duyiwwGs1fn_g4G34xVFTxBD2fB4gpWzmp7td1mVgho!1a
48	Informatique programmation	L'essentiel de power apps (microsoft 365)		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/hFogCZBC#C77fKevAXrclWNSJ9o4nRQ3xqsKZLHYQpkxLR2wlp1E!1a
49	Informatique programmation	L'essentiel de blazor		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/9Ng1jKJT#WgILYOO9FjJlFZfz73LQeM1oJVETztWcoOAelbMsWco!1a
50	Informatique programmation	Html + css + responsive la meilleure formation complete		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/RFYFkB5R#4H15qC_iDc60kFQlnJrQpiK0tydj--Zpb-Egu0yd7-c!1a
51	Informatique programmation	Hacking Éthique-le hacker de facebook		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/pdYH3a7Q#FYTCIKouRHF3nRbKN27pTbHH3JN-hFcdy1zilvWTEHg!1a
52	Informatique programmation	Hacking Éthique certification™ 24h d_un hacker en série		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/1U5V1LzA#r28qVUMVeb-aska1IH-dtsRFTSYhOCrW8r7o0twdeb8!1a
53	Informatique programmation	Godot 4 création de jeux 3d avec le moteur libre ultime !		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/tQAjyJrT#FSwD6qqtbSeH8KG0RaunAgD58LY3KDkW7j6ePK02VXk!1a
54	Informatique programmation	Formation wordpress créez 1 site rapidement en partant de 0		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/5NZBSAxA#Fo_IeOWdQUW-LUUSFM_A7Zxkahr032CulNIyTngxfOY!1a
55	Informatique programmation	Formation complète python 2023 - de 0 à expert		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/UEAAVIJB#VuFZo9tZb-ll0q2JAfbCtflJs4Sf71aBnKg7lVL__gg!1a
56	Informatique programmation	Formation complète javascript de a à z (par la pratique)		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/sUQklaja#2IGDMefRa6XUgwzmcSPL7EvDh1m9r0SiFjXeX-xM5fM!1a
57	Informatique programmation	Développeur php, html et css la formation complète 2023		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/tUoA1aaS#KtmiS-zEXQG8U7dHhLjj18Sx2A8wuz07vejIsKO67fg!1a
